id,instituicao,bairro,cep,cidade,descricao,fields/email,fields/endereco,fields/entidade_que_administra_o_abrigo,fields/estado,fields/facebook,idade,numero_de_criancas,pais,possui_programa_de_apadrinhamento_afetivo,responsavel,site,telefone,end_format,lat_long,user_inst,logo_img,autorizado,editado
10,Lar santa tereza,Brooklin,4567070,São Paulo,,,rua manguatá 99,,SP,,de 0 a 18 anos,20,Brasil,,,,11-5042-2965,"['Rua Manguatá, 99, Itaim Bibi, São Paulo - SP, 04567-070, Brasil, São Paulo, SP 04567-070, BRA', (-23.61349, -46.68915)]","-23.61349,-46.68915",,,true,true
11,Sociedade beneficente alemã,Butantã,5591000,São Paulo,,larrecantofeliz@beneficencia-alema.org.br,rua dr. romeo ferro 246,,SP,,,,Brasil,,,http //www.beneficencia-alema.org.br/,11-3723-7272,"['Rua Doutor Romeo Ferro, 246, Butantã, São Paulo - SP, 05591-000, Brasil, São Paulo, SP 05591-000, BRA', (-23.5794793, -46.7314778)]","-23.5794793,-46.7314778",,,true,true
12,Casa abrigo lar boa semente,Cambuci,1536000,São Paulo,Ligada a ONG Associação Beneficente do Cambuci.,hungaro@terra.com.br,av. lacerda franco 666,,SP,,de 0 a 18 anos,11,Brasil,,,,11-3209-2382,"['Avenida Lacerda Franco, 666, Liberdade, São Paulo - SP, 01536-000, Brasil, São Paulo, SP 01536-000, BRA', (-23.56847, -46.62357)]","-23.56847,-46.62357",,,true,true
13,Centro comunitário da criança e do adolescente - ccca,Cambuci,1539010,São paulo,,,rua gama cerqueira 203,,SP,,de 0 a 18 anos,20,Brasil,,,,11-3277-1615,"['Rua Gama Cerqueira, 203, Cambuci, São Paulo - SP, 01539-010, Brasil, São Paulo, SP 01539-010, BRA', (-23.56916, -46.61971)]","-23.56916,-46.61971",,,true,true
14,Abrigo anália franco,Campo Grande,,São Paulo,Ligada a ONG Programa Social Gotas de Flor com Amor.,abrigoanaliafranco@uol.com.br,rua prof. haydée da silva martins,,SP,,de 0 a 18 anos,21,Brasil,,,http //www.gotasdeflor.org.br/site2011/site2011/site2010/paginas/template575e.html?menu=2&submenu=52,11-5634-0810,"['Rua Professora Haideé Silva Martins, Campo Grande, São Paulo - SP, 04693-030, Brasil, São Paulo, SP 04693-030, BRA', (-23.67798, -46.6908699)]","-23.67798,-46.6908699",,,true,true
15,Associação beneficente lar benjamin,Campo Grande,4455130,São Paulo,,larbenjamin@hotmail.com,rua joão scatamacchia 278,,SP,,de 9 a 18 anos,7,Brasil,,,,11-5611-8883,"['Rua João Scatamacchia, 278, Campo Grande, São Paulo - SP, 04455-130, Brasil, São Paulo, SP 04455-130, BRA', (-23.6791899, -46.6804)]","-23.6791899,-46.6804",,,true,true
16,Campo limpo residência plena - unidade ii,Campo Limpo,,São Paulo,Ligado a ONG Lar Batista de Crianças.,lbc.clabrigo@gmail.com,rua dr. hugo lacorte vitale 521,,SP,,de 2 a 17 anos,20,Brasil,,,,11-5841-0906,"['Rua Doutor Hugo Lacorte Vitale, 521, Campo Limpo, São Paulo - SP, 05756-370, Brasil, São Paulo, SP 05756-370, BRA', (-23.62823, -46.75758)]","-23.62823,-46.75758",,,true,true
17,Lar batista de crianças de campo limpo,Campo Limpo,5756370,São Paulo,,campolimpo@larbatista.com.br,rua dr. hugo lacorte vitale 521,,SP,,de 0 a 18 anos,20,Brasil,,,http //www.larbatista.com.br,11-5841-0906,"['Rua Doutor Hugo Lacorte Vitale, 521, Campo Limpo, São Paulo - SP, 05756-370, Brasil, São Paulo, SP 05756-370, BRA', (-23.62823, -46.75758)]","-23.62823,-46.75758",,,true,true
18,Abrigo joselito lopes martins,Campos Eliseos,,São Paulo,,salma.silveira@saecsp.org.br,rua conselheiro nebias 1438,,SP,,de 3 a 18 anos,,Brasil,,Salma Silveira,,11-3333-2743,"['Rua Conselheiro Nébias, 1438, Santa Cecília, São Paulo - SP, 01203-002, Brasil, São Paulo, SP 01203-002, BRA', (-23.53137, -46.64862)]","-23.53137,-46.64862",,,true,true
19,Abrigo livre ser,casa verde,,São Paulo,,info@livreser.org.br,rua domingos fasolari 376,,SP,,,,Brasil,,,http //livreser.org.br/,11-3951-7142,"['Rua Domingos Fasolari, 376, Casa Verde, São Paulo - SP, 02513-010, Brasil, São Paulo, SP 02513-010, BRA', (-23.51081, -46.6557)]","-23.51081,-46.6557",,,true,true
20,Casa abrigo em casa verde,casa verde,2522100,São Paulo,,,rua vichy 326,,SP,,,,Brasil,,,,11-3857-7403,"['Rua Vichy, 326, Casa Verde, São Paulo - SP, 02522-100, Brasil, São Paulo, SP 02522-100, BRA', (-23.50591, -46.6603)]","-23.50591,-46.6603",,,false,false
21,Arco associação beneficiente,Chácara Flórida,4949170,São Paulo,,ARCOBRASIL@YAHOO.COM.BR,rua licínio felini 97,,SP,,de 0 a 18 anos,6,Brasil,,,,11-5517-3440,,,,,false,false
22,6º lar - casa do menor,CHACARA SANTO ANTONIO,4716003,São Paulo,,voluntariado@helendrexel.org.br,rua fernandes moreira 1158,Associação Maria Helen Drexel - AMHD,SP,,,,Brasil,,,www.helendrexel.org.br,11-36281891,"['Rua Fernandes Moreira, 1158, Santo Amaro, São Paulo - SP, 04716-003, Brasil, São Paulo, SP 04716-003, BRA', (-23.63038, -46.70523)]","-23.63038,-46.70523",,,false,false
23,7º lar - padre juanito,CHACARA SANTO ANTONIO,4717001,São Paulo,,voluntariado@helendrexel.org.br,rua alexandre dumas 732,Associação Maria Helen Drexel - AMHD,SP,,,,Brasil,,,www.helendrexel.org.br,11-3628-1891,"['Rua Alexandre Dumas, 732, Santo Amaro, São Paulo - SP, 04717-001, Brasil, São Paulo, SP 04717-001, BRA', (-23.63501, -46.69893)]","-23.63501,-46.69893",,,false,false
24,8º lar - irmã fides,CHACARA SANTO ANTONIO,4717001,São Paulo,,voluntariado@helendrexel.org.br,rua alexandre dumas 736,Associação Maria Helen Drexel - AMHD,SP,,,,Brasil,,,www.helendrexel.org.br,11-36281891,"['Rua Alexandre Dumas, 736, Santo Amaro, São Paulo - SP, 04717-001, Brasil, São Paulo, SP 04717-001, BRA', (-23.6349899, -46.69897)]","-23.6349899,-46.69897",,,false,false
25,Casa edith stein (nossa senhora do bom parto),Chacára Tatuapé,3061040,São Paulo,Ligada ao Centro Social Nossa Senhora do Bom Parto,casaedithstein@ig.com.br,rua engenheiro andrade junior 255,,SP,,de 0 a 17 anos,20,Brasil,,,http //www.acolhe.org.br/teste/casas.html,11-26922607,"['Rua Engenheiro Andrade Júnior, 255, Belém, São Paulo - SP, 03061-040, Brasil, São Paulo, SP 03061-040, BRA', (-23.53775, -46.58385)]","-23.53775,-46.58385",,,false,false
26,Casa da criança irmã angela,Chora Menino,2462001,São Paulo,,casairmaangela@gmail.com,rua dona elfrida 571,,SP,,de 2 a 13 anos,19,Brasil,,,http //ccia.org.br,11-2977-0801,"['Rua Dona Elfrida, 571, Santana, São Paulo - SP, 02462-001, Brasil, São Paulo, SP 02462-001, BRA', (-23.4928, -46.64052)]","-23.4928,-46.64052",,,false,false
27,Casa dos inocentes,Cidade Patriarca,355503,São Paulo,,Casadosinocentes@ig.com.br,rua catrimani 333,,SP,,de 0 a 18 anos,,Brasil,,,http //www.casadosinocentes.org.br/colabore.htm,11-2791-7010,"['Rua Catrimani, 333, Vila Matilde, São Paulo - SP, 03555-030, Brasil, São Paulo, SP 03555-030, BRA', (-23.53694, -46.5003)]","-23.53694,-46.5003",,,false,false
28,São mateus ii,Cidade Satélite Santa Bárbara,8330540,São paulo,Ligado a ONG Obra Social da Paróquia São Matheus Apóstolo.,obrasocial@ig.com.br,rua tétis 141,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2113-0679,"['Rua Tetis, 141, São Mateus, São Paulo - SP, 08330-540, Brasil, São Paulo, SP 08330-540, BRA', (-23.61226, -46.46882)]","-23.61226,-46.46882",,,false,false
29,Casa do cristo redentor,Colônia,8260030,São Paulo,,social@casadocristoredentor.org.br,rua agrimensor sugaya 986,,SP,,de 0 a 18 anos,39,Brasil,,,,11-25216222,"['Rua Agrimensor Sugaya, 986, José Bonifácio, São Paulo - SP, 08260-030, Brasil, São Paulo, SP 08260-030, BRA', (-23.5598, -46.43668)]","-23.5598,-46.43668",,,false,false
30,Casa abrigo semeia,Consolação,,São Paulo,Ligado a ONG Fundação Francisca Franco.,,rua antonia de queiroz 194,,SP,,de 0 a 18 anos,20,Brasil,,,http //fundacaofranciscafranco.blogspot.com.br/p/casa-semeia.html,0,"['Rua Antônio R. Queiroz, 194, Louveira - SP, 13290-000, Brasil, Louveira, SP 13290-000, BRA', (-23.0881651, -46.9554842)]","-23.0881651,-46.9554842",,,false,false
31,Casa taiguara casa verde,Freguesia do Ó,2558060,São Paulo,,valeriagonpassaro@gmail.com,rua felipe fragoso 177,,SP,,de 0 a 17 anos,20,Brasil,,Valéria Passaro,http //www.casataiguara.org.br,11-3951-6987,"['Rua Filipe Fragoso, 177, Limão, São Paulo - SP, 02558-060, Brasil, São Paulo, SP 02558-060, BRA', (-23.49679, -46.67475)]","-23.49679,-46.67475",,,false,false
32,Lar social girassol,Grajaú,4855020,São Paulo,,,r ricardo macedo 5,,SP,,de 0 a 17 anos,50,Brasil,,Raquel,,11-5528-4996,"['Rua Ricardo Macedo, 5, Grajau, São Paulo - SP, 04855-020, Brasil, São Paulo, SP 04855-020, BRA', (-23.7577399, -46.68615)]","-23.7577399,-46.68615",,,false,false
33,Novo lar betania,Guaianases,,São Paulo,,novolarbetania@uol.com.br,rua serra do mar 32,,SP,,,,Brasil,,Marisa,,11-2071-4871,"['Rua Serra do Mar, 32, Mairiporã - SP, 07600-000, Brasil, Mairiporã, SP 07600-000, BRA', (-23.27237, -46.59052)]","-23.27237,-46.59052",,,false,false
34,Nossa familia,Horto,,São Paulo,Ligada a ONG Movimento Unificado de Defesa da Criança e do Adolescente de Rua.,projetomudar@superig.com.br,rua matheus rodrigues 65,,SP,,de 0 a 18 anos,22,Brasil,,,,11-2994-1105,"['Rua Pedro Rodrigues Marques, 65, Campo Limpo, São Paulo - SP, 05757-250, Brasil, São Paulo, SP 05757-250, BRA', (-23.6272626, -46.7589039)]","-23.6272626,-46.7589039",,,false,false
35,Casa abrigo estrelas do amanhã,Imirim,,São Paulo,,adrianaestrelas@yahoo.com.br,rua orense 93 casa verde,,SP,,de 0 a 17 anos,,Brasil,,,,11-2236-7110,"['Rua Orense, 93, Casa Verde, São Paulo - SP, 02540-030, Brasil, São Paulo, SP 02540-030, BRA', (-23.49136, -46.65755)]","-23.49136,-46.65755",,,false,false
36,Casa lar iii,Imirim,,São Paulo,Ligada a ONG Instituição Filantrópica e Educacional Parábola.,PRESIDENCIA@PARABOLA.COM.BR,rua ibirantinga 166,,SP,,de 0 a 18 anos,9,Brasil,,,,11-2256-3931,"['Rua Ibiratinga, 166, Santana, São Paulo - SP, 02468-040, Brasil, São Paulo, SP 02468-040, BRA', (-23.48964, -46.64925)]","-23.48964,-46.64925",,,false,false
37,Casa siloé,Imirim,2464200,São Paulo,Ligada a ONG Sociedade Padre Constanzo Dalbésio.,p.valeriano@uol.com.br,avenida imirim 1382,,SP,,de 0 a 18 anos,12,Brasil,,,,11-2256-7415,"['Avenida Imirim, 1382, Santana, São Paulo - SP, 02464-200, Brasil, São Paulo, SP 02464-200, BRA', (-23.4932899, -46.64747)]","-23.4932899,-46.64747",,,false,false
38,Lar suzane,Imirim,2467060,São Paulo,Ligada a ONG Sociedade Padre Constanzo Dalbésio.,p.valeriano@uol.com.br,rua diogo cabrera 181,,SP,,de 0 a 18 anos,12,Brasil,,,,11-2236-6228,"['Rua Diogo Cabrera, 181, Santana, São Paulo - SP, 02467-060, Brasil, São Paulo, SP 02467-060, BRA', (-23.49101, -46.64444)]","-23.49101,-46.64444",,,false,false
39,Orfanato cotic unidade 2,Imirim,,São Paulo,,cotic@superig.com.br,r. cláudio rodrigues lopes 224,,SP,,,,Brasil,,,http //cotic.org.br,11-2261-5797,"['Rua Cláudio Rodrigues Lopes, 224, Santana, São Paulo - SP, 02463-050, Brasil, São Paulo, SP 02463-050, BRA', (-23.48933, -46.64589)]","-23.48933,-46.64589",,,false,false
40,Orfanato doce lar,Imirim,,São Paulo,,,rua lima verde 69,,SP,,,,Brasil,,,,11-2372-5356,"['Rua Lima Verde, 69, Cachoeirinha, São Paulo - SP, 02610-060, Brasil, São Paulo, SP 02610-060, BRA', (-23.47739, -46.66343)]","-23.47739,-46.66343",,,false,false
41,Centro espírita irmã angela,Ipiranga,4217000,São Paulo,,,rua do grito 165,,SP,,,,Brasil,,,,11-2061-7772,"['Rua do Grito, 165, Ipiranga, São Paulo - SP, 04217-000, Brasil, São Paulo, SP 04217-000, BRA', (-23.59923, -46.60358)]","-23.59923,-46.60358",,,false,false
42,Maesp unidade ii,Ipiranga,,São Paulo,Entidade que abriga crianças e adolescentes filhos de encarcerados carentes,maesp.sp@uol.com.br,rua correa salgado 107,,SP,,de 0 a 18 anos,20,Brasil,,,,11-5062-8007,"['Rua Salvador Correa, 107, Liberdade, São Paulo - SP, 04109-070, Brasil, São Paulo, SP 04109-070, BRA', (-23.5763488, -46.6319698)]","-23.5763488,-46.6319698",,,false,false
43,Associação maria helen drexel,Itaim Bibi,4583050,São Paulo,,voluntariado@helendrexel.org.br,rua miguel sutil 590,,SP,http //www.facebook.com/pages/Associa%C3%A7%C3%A3o-Maria-Helen-Drexel/114962831915464,,,Brasil,,,http //www.helendrexel.org.br/,11-36281891,"['Rua Miguel Sutil, 590, Itaim Bibi, São Paulo - SP, 04583-050, Brasil, São Paulo, SP 04583-050, BRA', (-23.61524, -46.69209)]","-23.61524,-46.69209",,,false,false
44,Madre mazzarello,Itaquera,8215320,São Paulo,Ligada a ONG Obra Social Dom Bosco.,geral@domboscoitaquera.org.br,rua engenheiro villares da silva 549,,SP,,de 0 a 18 anos,20,Brasil,,,,11-22051100,"['Rua Engenheiro Vilares da Silva, 549, Itaquera, São Paulo - SP, 08215-320, Brasil, São Paulo, SP 08215-320, BRA', (-23.53657, -46.44711)]","-23.53657,-46.44711",,,false,false
45,Mamãe margarida,Itaquera,8210080,São Paulo,Ligada a ONG Obra Social Dom Bosco.,geral@domboscoitaquera.org.br,rua paulo de tarso rodrigues 14,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2205-0541,"['Rua Paulo de Tarso Rodrigues, 14, Itaquera, São Paulo - SP, 08210-080, Brasil, São Paulo, SP 08210-080, BRA', (-23.54192, -46.45648)]","-23.54192,-46.45648",,,false,false
46,Nossa senhora aparecida,Itaquera,8210490,São Paulo,,geral@domboscoitaquera.org.br,rua ursulina d angelo 536,,SP,,de 0 a 18 anos,20,Brasil,,,,11-21717711,"['Rua Ursulina Dangelo, 536, Itaquera, São Paulo - SP, 08210-490, Brasil, São Paulo, SP 08210-490, BRA', (-23.53614, -46.45081)]","-23.53614,-46.45081",,,false,false
47,Obra filantropica e missionaria novo lar betania,Itaquera,8290000,São Paulo,,NOVOLARBETANIA@UOL.COM.BR,rua victor santim 827,,SP,,de 0 a 18 anos,5,Brasil,,,,11-2205-0209,"['Rua Victorio Santim, 827, Itaquera, São Paulo - SP, 08290-000, Brasil, São Paulo, SP 08290-000, BRA', (-23.54245, -46.4502)]","-23.54245,-46.4502",,,false,false
48,São domingos de sávio,Itaquera,,São Paulo,Ligada a ONG Obra Social Dom Bosco.,geral@domboscoitaquera.org.br,rua aureliano barreiro 376,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2286-2674,"['Rua Aureliano Barreiros, 376, Itaquera, São Paulo - SP, 08210-450, Brasil, São Paulo, SP 08210-450, BRA', (-23.53708, -46.45226)]","-23.53708,-46.45226",,,false,false
49,Casa abrigo aliados de maria - centro educacional catarina kentenich,Jaraguá,5181300,São Paulo,Ligada a ONG Istituto Beneficente Cultural José Kentenich.,zilda_ceck@hotmail.com,rua dona gertrudes jordão 324,,SP,,de 2 a 17 anos,20,Brasil,,Zilda R Pinto  -  Gerência,http //www.centroeducacionalck.org/casabrigo.asp,11-3941-3628,"['Rua da Gertrudes Jordão, 324, Jaraguá, São Paulo - SP, 05181-300, Brasil, São Paulo, SP 05181-300, BRA', (-23.45728, -46.74292)]","-23.45728,-46.74292",,,false,false
50,Casa abrigo aprendizes do amor - centro educacional catarina kentenich,Jaraguá,5181300,São Paulo,Ligada a ONG Instituto Beneficente Cultural José Kentenich.,angela_ceck@hotmail.com,rua dona gertrudes jordão 324,,SP,,de 0 a 18 anos,20,Brasil,,I - CATARINA KENTENICH,http //www.centroeducacionalck.org/casabrigoii.asp,11-39413628,"['Rua da Gertrudes Jordão, 324, Jaraguá, São Paulo - SP, 05181-300, Brasil, São Paulo, SP 05181-300, BRA', (-23.45728, -46.74292)]","-23.45728,-46.74292",,,false,false
51,Solar feminino,Jardim Anália Franco,3335090,São Paulo,A instituição está ligada a ONG Lar Mãe do Divino Amor e atende crianças e adolescentes com deficiência mental.,larmae@ig.com.br,rua francisco zicardi 420,,SP,,de 7 a 18 anos,20,Brasil,,,,11-2671-7677,"['Rua Francisco Zicardi, 420, Vila Formosa, São Paulo - SP, 03335-090, Brasil, São Paulo, SP 03335-090, BRA', (-23.5587, -46.56663)]","-23.5587,-46.56663",,,false,false
52,Amem - associação dos amigos do menor pelo esporte maior,Jardim Arpoador,5577300,São Paulo,,amem.amigos@terra.com.br,"rodovia raposo tavares km 19,5",,SP,,de 0 a 18 anos,80,Brasil,,,,11-3785-3512,"['Rodovia Raposo Tavares, 5, Taboão, São Roque - SP, 18136-025, Brasil, São Roque, SP 18136-025, BRA', (-23.5431199, -47.12419)]","-23.5431199,-47.12419",,,false,false
53,Lar vinícius (casa 1),Jardim Bonfiglioli,5592001,São Paulo,,larvinicius@yahoo.com.br,rua joão gomes júnior 1053,,SP,,de 1 a 12 anos,8,Brasil,,,,11-3733-6342,"['Rua João Gomes Júnior, 1053, Butantã, São Paulo - SP, 05592-001, Brasil, São Paulo, SP 05592-001, BRA', (-23.58093, -46.73276)]","-23.58093,-46.73276",,,false,false
54,Lar vinícius (casa 2),Jardim Bonfiglioli,5594060,São Paulo,,larvinicius@gmail.com,rua ministro eduardo de campos maia 25,,SP,,de 0 a 18 anos,14,Brasil,,,http //www.larvinicius.org.br,11-3733-6342,"['Rua Ministro Eduardo de Campos Maia, 31, Butantã, São Paulo - SP, 05594-060, Brasil, São Paulo, SP 05594-060, BRA', (-23.58081, -46.738)]","-23.58081,-46.738",,,false,false
55,Lar escola cairbar schutel,Jardim Colombo,5623010,São Paulo,,abrigo1@cairbarschutel.org,rua francisco preto 213,,SP,,,60,Brasil,,,http //www.cairbarschutel.org/,11-3742-0516,"['Rua Francisco Preto, 213, Vila Sônia, São Paulo - SP, 05623-010, Brasil, São Paulo, SP 05623-010, BRA', (-23.60106, -46.72769)]","-23.60106,-46.72769",,,false,false
56,Casa lar 01,Jardim Colonial,4821100,São Paulo,Ligado a ONG Aldeias Infatis SOS Brasil.,,av. fernando amaro de miranda 61,,SP,,de 0 a 18 anos,9,Brasil,,,,11-5661-0026,,,,,false,false
57,Abrigo rita luiza da cunha,Jardim Consórcio,4436000,São Paulo,Ligada a ONG Centro de Habilitação Filosofia e Cultura.,abrigoritaluizadacunha@yahoo.com.br,rua joão batista vitoriano 358,,SP,,de 0 a 18 anos,20,Brasil,,,,11-5671-2784,"['Avenida João Batista di Victoriano, 358, Campo Grande, São Paulo - SP, 04436-000, Brasil, São Paulo, SP 04436-000, BRA', (-23.67149, -46.67456)]","-23.67149,-46.67456",,,false,false
58,Nosso lar,Jardim da Saúde,4290060,São Paulo,Ligada a ONG Associação das Senhoras Evangélicas de São Paulo,asesp@globo.com,rua madame curie 219,,SP,,de 0 a 18 anos,24,Brasil,,Marta Serra,,11-5068-0334,"['Rua Madame Curie, 219, Centro, São Bernardo do Campo - SP, 09721-010, Brasil, São Bernardo do Campo, SP 09721-010, BRA', (-23.7215672, -46.5430069)]","-23.7215672,-46.5430069",,,false,false
59,Abrigo heloisa macedo jabali,Jardim das Bandeiras,5436010,São Paulo,Ligada a ONG Centro de Habilitação Filosofia e Cultura.,abrigoritaluizadacunha@yahoo.com.br,rua patapio silva 196,,SP,,de 0 a 18 anos,20,Brasil,,,,-11,"['Rua Patápio Silva, 196, Pinheiros, São Paulo - SP, 05436-010, Brasil, São Paulo, SP 05436-010, BRA', (-23.55492, -46.68499)]","-23.55492,-46.68499",,,false,false
60,Abrigo pinheiros,JARDIM DAS BANDEIRAS,5436010,São Paulo,,mafraluisa@terra.com.br,r. patapio silva 196,,SP,,,,Brasil,,,,11-3812-8860,"['Rua Patápio Silva, 196, Pinheiros, São Paulo - SP, 05436-010, Brasil, São Paulo, SP 05436-010, BRA', (-23.55492, -46.68499)]","-23.55492,-46.68499",,,false,false
61,Casa odila franco,Jardim das Bandeiras,5439000,São Paulo,Ligado a ONG Fundação Francisca Franco.,,rua luminárias 105,,SP,,de 0 a 18 anos,20,Brasil,,,http //fundacaofranciscafranco.blogspot.com.br/p/a-casa-ja-existe-maisde-15-anos.html,0,"['Rua Luminárias, 105, Pinheiros, São Paulo - SP, 05439-000, Brasil, São Paulo, SP 05439-000, BRA', (-23.54825, -46.68824)]","-23.54825,-46.68824",,,false,false
62,Casa acolhida sul,Jardim das Embuias,4829320,São Paulo,Ligada a ONG Fundação Projeto Travessia.,,rua josé portolano 60,,SP,,de 0 a 18 anos,20,Brasil,,,,11-2105-1059,"['Rua José Portolano, 60, Cidade Dutra, São Paulo - SP, 04829-320, Brasil, São Paulo, SP 04829-320, BRA', (-23.72904, -46.71297)]","-23.72904,-46.71297",,,false,false
63,Abrigo sociedade santos mártires,Jardim dos Lagos,4771050,São Paulo,,administracao@santosmartires.org.br,av. leblon 65,,SP,,de 0 a 18 anos,20,Brasil,,,,11-5541-0131,"['Avenida Leblon, 65, Socorro, São Paulo - SP, 04771-050, Brasil, São Paulo, SP 04771-050, BRA', (-23.6788674, -46.7104559)]","-23.6788674,-46.7104559",,,false,false
64,Educandário dom duarte abrigo i,Jardim Educandário,,São Paulo,Ligado a ONG Liga das Senhoras Católicas de São Paulo.,,av. dr. heitor antonio eiras garcia 5985,,SP,,de 0 a 18 anos,20,Brasil,,,,11-3782-0773,"['Avenida Eng. Heitor Antônio Eiras Garcia, 5985, Raposo Tavares, São Paulo - SP, 05564-200, Brasil, São Paulo, SP 05564-200, BRA', (-23.6039392, -46.7883851)]","-23.6039392,-46.7883851",,,false,false
65,Educandário dom duarte abrigo ii,Jardim Educandário,,São Paulo,Ligado a ONG Liga das Senhoras Católicas de São Paulo.,adm@ligasolidaria.org.br,av. dr. heitor antonio eiras garcia 5985,,SP,,de 0 a 18 anos,20,Brasil,,,,11-3782-0773,"['Avenida Eng. Heitor Antônio Eiras Garcia, 5985, Raposo Tavares, São Paulo - SP, 05564-200, Brasil, São Paulo, SP 05564-200, BRA', (-23.6039392, -46.7883851)]","-23.6039392,-46.7883851",,,false,false
66,Casa mandacaru,Jardim Eliza Maria,2873520,São Paulo,Ligada a ONG Arca do Brasil.,arcadobrasil@uol.com.br,rua manoel aqulino dos santos 1170,,SP,,de 0 a 18 anos,5,Brasil,,,,11-3851-3459,"['Rua Manuel Aquilino dos Santos, 1170, Brasilândia, São Paulo - SP, 02873-520, Brasil, São Paulo, SP 02873-520, BRA', (-23.45413, -46.6787)]","-23.45413,-46.6787",,,false,false
